"#",Station,RSP/KL,RSP/L
1,Phuentsholing,51189.83,51.19
2,Rinchending,51270.29,51.27
3,Pasakha,51323.93,51.32
4,Chimakothi,52652.17,52.65
5,Chubachu,53112.06,53.11
6,Paro Shaba,53109.05,53.11
7,Haa,53853.52,53.85
8,Wangdue Zero Point,53347.83,53.35
9,Beychu,53571.33,53.57
10,Samtse Checkpost,51090.94,51.09
11,Sipsoo,52343.6,52.34
12,Pagli,51049.74,51.05
13,Gedu,52243.1,52.24
14,Mitsina,53258.43,53.26
15,Khuruthang,53324.69,53.32
16,Gasa,54636.17,54.64
17,Dorokha,52019.48,52.02
18,Langdru (Khasadrapchu),52960.08,52.96
