Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Phuentsholing,63234.97,63.23
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Rinchending,63315.43,63.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Pasakha,63369.07,63.37
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Chimakothi,64634.76,64.63
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Chubachu,65098.81,65.1
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Paro Shaba,65090.63,65.09
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Haa,65812.05,65.81
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Wangdue Zero Point,65363.43,65.36
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Beychu,65586.93,65.59
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Samtse Checkpost,62795.56,62.8
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Sipsoo,64381.74,64.38
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Pagli,62853.26,62.85
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Gedu,64224.56,64.22
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Mitsina,65274.03,65.27
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Khuruthang,65341.74,65.34
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Gasa,66599.67,66.6
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Dorokha,64034.69,64.03
Western Region,HSD (in KL),Indian Oil Corporation Limited,2021-04-01,Langdru (Khasadrapchu),64946.83,64.95
